Country,Active Users,Total Score,Ranked Score,Total Play Count,Performance
Malta,370,2.38M,461.32B,1.25B,267.39K
Mauritius,369,1.74M,307.71B,833.90M,196.78K
Kenya,368,1.17M,171.22B,465.27M,152.04K
Guadeloupe,348,2.45M,325.60B,935.64M,219.95K
Albania,325,1.87M,241.81B,744.03M,231.39K
State of Palestine,296,2.01M,267.32B,903.12M,216.23K
Martinique,296,2.08M,284.86B,962.37M,195.92K
Montenegro,268,1.34M,214.10B,798.89M,158.59K
Madagascar,248,1.45M,145.58B,587.00M,156.31K
Cuba,235,272.75K,44.84B,190.79M,77.29K
Syrian Arab Republic,212,1.18M,175.98B,830.10M,142.24K
Libya,196,681.88K,108.83B,555.25M,125.85K
Barbados,192,1.09M,154.28B,803.53M,137.30K
Belize,188,1.23M,153.21B,814.93M,151.75K
French Polynesia,186,1.45M,178.40B,959.14M,175.72K
Bahamas,184,650.27K,86.88B,472.18M,105.58K
New Caledonia,182,1.34M,148.78B,817.47M,173.12K
Northern Mariana Islands,150,1.47M,178.34B,1.19B,193.92K
Guyana,145,842.96K,124.76B,860.44M,112.99K
French Guiana,142,881.24K,124.32B,875.51M,122.97K
Suriname,136,856.70K,133.04B,978.23M,121.31K
Aruba,135,674.59K,83.20B,616.28M,100.74K
Ghana,127,601.02K,167.22B,1.32B,105.81K
Namibia,118,589.87K,70.91B,600.95M,101.15K
Cote D'Ivoire,106,414.57K,84.86B,800.54M,76.37K
Isle of Man,101,637.66K,110.58B,1.09B,113.77K
Ethiopia,99,289.10K,38.58B,389.74M,52.38K
Senegal,96,218.86K,36.14B,376.43M,43.92K
Jersey,95,729.92K,140.73B,1.48B,109.57K
Angola,93,286.41K,32.98B,354.67M,55.69K
Faroe Islands,90,935.75K,168.35B,1.87B,111.49K
Botswana,84,471.68K,65.00B,773.84M,71.12K
Kosovo,82,422.12K,38.41B,468.43M,66.65K
Curaçao,79,263.40K,33.58B,425.03M,63.01K
Saint Lucia,75,427.28K,65.20B,869.36M,63.48K
Zimbabwe,65,170.60K,33.60B,516.88M,37.57K
Bhutan,64,54.52K,7.48B,116.86M,19.59K
Andorra,62,312.39K,40.21B,648.55M,68.89K
Cayman Islands,60,208.54K,23.53B,392.20M,43.95K
Fiji,58,193.62K,36.67B,632.21M,41.47K
Sudan,56,476.85K,92.27B,1.65B,75.56K
Tajikistan,53,56.61K,5.53B,104.42M,16.54K
Mozambique,52,267.08K,42.93B,825.62M,44.22K
Guernsey,52,358.55K,68.45B,1.32B,66.55K
Zambia,49,170.65K,27.65B,564.35M,25.39K
"Virgin Islands, U.S.",49,294.71K,35.76B,729.81M,46.49K
Gabon,49,272.96K,23.45B,478.51M,35.74K
Greenland,48,848.06K,152.53B,3.18B,83.78K
Gibraltar,46,416.75K,40.58B,882.14M,55.00K
Antigua and Barbuda,44,299.16K,42.70B,970.42M,39.40K
Bermuda,43,394.60K,53.38B,1.24B,70.27K
Seychelles,43,107.46K,24.86B,578.08M,20.27K
Yemen,43,156.91K,20.73B,482.07M,27.82K
Cameroon,42,44.18K,8.34B,198.65M,17.28K
United Republic of Tanzania,41,71.75K,7.01B,170.93M,20.53K
Uganda,40,135.06K,16.10B,402.38M,24.69K
Mayotte,34,305.60K,50.32B,1.48B,49.90K
Cabo Verde,33,301.17K,86.09B,2.61B,41.17K
Saint Vincent and the Grenadines,32,191.43K,24.47B,764.65M,30.59K
Liechtenstein,30,153.38K,26.33B,877.72M,32.50K
Aland Islands,28,358.17K,110.97B,3.96B,50.60K
Togo,28,91.34K,26.96B,963.01M,23.19K
Dominica,28,151.69K,17.83B,636.95M,23.40K
Grenada,27,106.07K,11.32B,419.20M,19.31K
Burkina Faso,26,49.79K,18.49B,711.02M,12.11K
Saint Kitts and Nevis,22,152.67K,14.18B,644.70M,27.28K
Turkmenistan,22,67.68K,6.69B,304.00M,15.37K
Monaco,22,90.20K,16.15B,733.92M,21.10K
Haiti,21,109.39K,20.14B,959.22M,22.75K
Rwanda,20,100.46K,14.21B,710.30M,14.04K
Saint Martin,20,110.79K,70.69B,3.53B,20.40K
Somalia,17,30.05K,1.26B,73.98M,6.88K
Malawi,16,19.04K,5.84B,364.92M,9.04K
Saint Pierre and Miquelon,16,83.41K,18.49B,1.16B,21.58K
San Marino,15,184.39K,190.22B,12.68B,22.00K
Papua New Guinea,15,96.20K,16.40B,1.09B,11.98K
Sint Maarten,15,56.87K,9.54B,635.74M,11.19K
The Democratic Republic of the Congo,15,12.27K,1.33B,88.79M,3.88K
Eswatini,14,28.84K,2.44B,174.31M,7.69K
Benin,14,14.00K,1.46B,104.33M,5.03K
Anguilla,14,18.22K,1.86B,133.06M,5.26K
Afghanistan,13,29.20K,3.54B,272.36M,7.16K
Mali,13,26.93K,2.18B,167.46M,5.22K
Mauritania,13,30.56K,1.97B,151.39M,5.43K
"Virgin Islands, British",12,16.63K,2.82B,235.00M,5.10K
Turks and Caicos Islands,11,61.02K,4.18B,380.31M,12.06K
Federated States of Micronesia,11,68.24K,12.82B,1.17B,14.15K
Congo,11,37.34K,6.20B,563.19M,8.04K
Caribbean Netherlands,11,41.87K,4.65B,422.98M,8.59K
Djibouti,9,17.01K,3.33B,369.66M,8.72K
Asia/Pacific Region,9,50.08K,10.39B,1.15B,11.11K
